oscillation with 500ms/7ms timer interrupts, pwm fills 127 and 170, starting after 1s in pwm 220

millis;pwm fill factor;sensor distance in mm
9121;0.50;168
9134;0.50;163
9147;0.50;161
9159;0.50;158
9171;0.50;158
9184;0.50;157
9196;0.50;154
9208;0.50;155
9222;0.50;152
9234;0.50;153
9246;0.50;153
9259;0.50;152
9271;0.50;152
9283;0.50;152
9295;0.50;151
9309;0.50;155
9321;0.50;154
9333;0.50;157
9346;0.50;155
9358;0.50;156
9370;0.50;157
9383;0.50;158
9396;0.50;158
9408;0.50;163
9420;0.50;164
9434;0.50;169
9447;0.50;166
9459;0.50;170
9473;0.50;172
9485;0.50;173 
9498;0.50;178
9511;0.50;177
9525;0.50;183
9538;0.50;183
9551;0.50;187
9564;0.69;187
9577;0.69;188
9590;0.69;189
9604;0.69;195
9617;0.69;255
9630;0.69;255
9643;0.69;255
9656;0.69;255
9669;0.69;255
9682;0.69;255
9696;0.69;255
9708;0.69;255
9721;0.69;255
9735;0.69;255
9748;0.69;255
9761;0.69;255
9775;0.69;255
9787;0.69;255
9800;0.69;255
9814;0.69;255
9827;0.69;255
9840;0.69;255
9852;0.69;255
9866;0.69;255
9879;0.69;255
9892;0.69;255
9906;0.69;255
9919;0.69;255
9931;0.69;255
9945;0.69;255
9958;0.69;255
9971;0.69;255
9985;0.69;255
9997;0.69;255 
10010;0.69;255
10023;0.69;255
10037;0.69;255
10050;0.69;193
10063;0.50;191
10077;0.50;193
10090;0.50;188
10102;0.50;185
10116;0.50;185
10129;0.50;184
10142;0.50;183
10156;0.50;179
10168;0.50;180
10181;0.50;177
10194;0.50;174
10208;0.50;178
10220;0.50;176
10233;0.50;176
10247;0.50;176
10260;0.50;176
10273;0.50;178
10287;0.50;175
10299;0.50;178
10312;0.50;178
10326;0.50;176
10338;0.50;176
10351;0.50;177
10364;0.50;179
10378;0.50;179
10391;0.50;181
10404;0.50;180
10418;0.50;188
10431;0.50;185
10443;0.50;192 
10457;0.50;189
10470;0.50;187
10483;0.50;191
10497;0.50;191
10510;0.50;192
10523;0.50;255
10536;0.50;255
10550;0.50;255
10562;0.69;255
10575;0.69;255
10589;0.69;255
10602;0.69;255
10615;0.69;255
10629;0.69;255
10642;0.69;255
10654;0.69;255
10668;0.69;255
10681;0.69;255
10696;0.69;255
10710;0.69;255
10723;0.69;255
10736;0.69;255
10749;0.69;255
10762;0.69;255
10775;0.69;255
10788;0.69;255
10802;0.69;255
10815;0.69;255
10828;0.69;255
10842;0.69;255
10855;0.69;255
10867;0.69;255
10881;0.69;255
10894;0.69;255
10907;0.69;255
10920;0.69;255
10934;0.69;255
10947;0.69;255
10960;0.69;255
10973;0.69;255
10986;0.69;255
10999;0.69;255
11013;0.69;255
11026;0.69;255
11039;0.69;255
11053;0.69;255
11066;0.50;255
11079;0.50;255
11091;0.50;255
11105;0.50;255
11118;0.50;255
11131;0.50;255
11145;0.50;255
11158;0.50;255
11171;0.50;255
11185;0.50;255
11197;0.50;255 
11210;0.50;255
11224;0.50;255
11237;0.50;255
11250;0.50;255
11264;0.50;255
11277;0.50;255
11290;0.50;255
11302;0.50;255
11316;0.50;255
11329;0.50;255
11342;0.50;255
11356;0.50;255
11369;0.50;255
11382;0.50;255
11396;0.50;255
11409;0.50;255
11421;0.50;255
11435;0.50;255
11448;0.50;255
11461;0.50;255
11474;0.50;255
11488;0.50;255
11501;0.50;255
11513;0.50;255
11527;0.50;255
11540;0.50;255
11553;0.50;255
11567;0.69;255
11580;0.69;255
11593;0.69;255
11607;0.69;255
11620;0.69;255
11632;0.69;255
11645;0.69;255
11659;0.69;255
11672;0.69;255
11685;0.69;255
11699;0.69;255
11712;0.69;255
11725;0.69;255
11738;0.69;255 
11751;0.69;255
11764;0.69;255
11778;0.69;255
