millis;pwm fill factor;sensor distance in mm
7746;0.70;21
7757;0.70;23
7769;0.70;21
7780;0.70;21
7790;0.70;20
7801;0.70;20
7813;0.70;22
7824;0.70;21
7835;0.70;22
7845;0.70;22
7857;0.70;23
7868;0.70;24
7879;0.70;21
7890;0.70;23
7901;0.70;22
7912;0.70;23
7923;0.70;21
7934;0.70;22
7946;0.70;22
7956;0.70;22
7967;0.70;22
7979;0.70;22
7990;0.70;21
8001;0.70;23
8011;0.70;23
8023;0.70;24
8034;0.70;22 
8045;0.70;24
8055;0.70;23
8067;0.70;25
8078;0.70;25
8089;0.70;23
8100;0.70;22
8111;0.70;23
8122;0.70;22
8133;0.70;21
8144;0.70;22
8156;0.70;23
8166;0.70;22
8177;0.70;22
8188;0.70;24
8200;0.70;23
8210;0.70;23
8221;0.70;23
8232;0.70;22
8244;0.70;24
8255;0.70;22
8265;0.70;23
8276;0.70;21
8288;0.70;22
8299;0.70;21
8310;0.70;23
8321;0.70;22
8332;0.70;20
8343;0.70;23
8354;0.70;22
8366;0.70;22
8376;0.70;22
8387;0.70;23
8398;0.70;22 
8410;0.70;22
8420;0.70;22
8431;0.70;23
8442;0.70;21
8454;0.70;22
8465;0.70;20
8475;0.70;20
8486;0.70;23
8498;0.70;21
8509;0.70;21
8520;0.70;23
8530;0.70;24
8542;0.70;21
8553;0.70;22
8564;0.70;22
8576;0.70;22
8586;0.70;23
8597;0.70;23
8608;0.70;23
8620;0.70;21
8630;0.70;22
8641;0.70;25
8652;0.70;22
8664;0.70;21
8675;0.70;23
8685;0.70;22
8696;0.70;23
8708;0.70;21
8719;0.70;24
8730;0.70;24
8740;0.70;24
8752;0.70;24
8763;0.70;22
8774;0.70;24
8785;0.70;22
8796;0.70;22
8807;0.70;21
8818;0.70;21
8829;0.70;22
8840;0.70;22
8851;0.70;22
8862;0.70;21
8873;0.70;21 
8885;0.70;21
8895;0.70;24
8906;0.70;21
8918;0.70;23
8929;0.70;23
8940;0.70;23
8950;0.70;22
8962;0.70;23
8973;0.70;21
8984;0.70;22
8995;0.70;23
9006;0.70;22
9017;0.70;21
9028;0.70;24
9039;0.70;22
9051;0.70;22
9061;0.70;23
9072;0.70;23
9083;0.70;20
9095;0.70;24
9105;0.70;22
9116;0.70;24
9127;0.70;19
9139;0.70;22
9150;0.70;21
9160;0.70;21
9171;0.70;22
9183;0.70;24
9194;0.70;22
9205;0.70;23
9216;0.70;24
9227;0.70;22
9238;0.70;22
9249;0.70;24
9261;0.70;22
9271;0.70;23
9282;0.70;22
9293;0.70;21
9305;0.70;21
9316;0.70;21
9326;0.70;22
9337;0.70;21
9349;0.70;23 
9360;0.70;21
9370;0.70;22
9381;0.70;25
9393;0.70;21
9404;0.70;24
9415;0.00;23
9425;0.00;23
9437;0.00;21
9450;0.00;20
9461;0.00;23
9473;0.00;23
9483;0.00;23
9494;0.00;25
9505;0.00;26
9517;0.00;27
9527;0.00;26
9538;0.00;28
9549;0.00;29
9561;0.00;31
9572;0.00;34
9582;0.00;40
9593;0.00;41
9605;0.00;46
9616;0.00;50
9626;0.00;55
9637;0.00;59
9650;0.00;65
9661;0.00;70
9673;0.00;78
9684;0.00;86
9696;0.00;94
9708;0.00;100
9720;0.00;111
9733;0.00;123
9745;0.00;138
9757;0.00;148
9771;0.00;157
9783;0.00;179
9796;0.00;189
9809;0.00;255
9823;0.00;255
9836;0.00;255
9848;0.00;255
9862;0.00;255
9875;0.00;255
9889;0.00;255
9903;0.00;255 
9917;0.00;255
9929;0.00;255
9943;0.00;255
9956;0.00;255 
9970;0.00;255
9984;0.00;255
9997;0.00;255
10011;0.00;255
10024;0.00;255
10039;0.00;255
10053;0.00;255
10066;0.00;255
10081;0.00;255
10094;0.00;255
10108;0.00;255
10122;0.00;255
10136;0.00;255
10149;0.00;255
10163;0.00;255
10176;0.00;255
10189;0.00;255
10203;0.00;255
10217;0.00;255
10230;0.00;255
10244;0.00;255
10257;0.00;255
10271;0.00;255
10285;0.00;255
10299;0.00;255
10312;0.00;255
10327;0.00;255
10340;0.00;255
10353;0.00;255
10368;0.00;255
10381;0.00;255
10394;0.00;255
10408;0.00;255
10422;0.00;255
10435;0.00;255
10448;0.00;255
10462;0.00;255
10476;0.00;255
10489;0.00;255
10504;0.00;255
10517;0.00;255
10531;0.00;255
10545;0.00;255
10558;0.00;255
10571;0.00;255
10585;0.00;255
10598;0.00;255
10612;0.00;255
10626;0.00;255
10640;0.00;255
10653;0.00;255
10667;0.00;255
10680;0.00;255
10694;0.00;255
10707;0.00;255
10721;0.00;255
10735;0.00;255
10748;0.00;255
10762;0.00;255
10776;0.00;255
10789;0.00;255
10804;0.00;255
10817;0.00;255
10831;0.00;255
10845;0.00;255
10858;0.00;255
10872;0.00;255
10886;0.00;255
10899;0.00;255
10913;0.00;255
10927;0.00;255
10940;0.00;255
10953;0.00;255
10967;0.00;255
10980;0.00;255
10994;0.00;255
11008;0.00;255
11021;0.00;255
11035;0.00;255
11048;0.00;255
11062;0.00;255
11076;0.00;255
11089;0.00;255
11103;0.00;255
11117;0.00;255
11130;0.00;255
11145;0.00;255
11158;0.00;255
11172;0.00;255
11186;0.00;255
11200;0.00;255
11214;0.00;255
11228;0.00;255
11242;0.00;255
11255;0.00;255
11270;0.00;255
11283;0.00;255
11297;0.00;255
11311;0.00;255
11325;0.00;255
11338;0.00;255
11352;0.00;255
11366;0.00;255
11379;0.00;255
11394;0.00;255
11407;0.00;255
11420;0.00;255
11435;0.00;255
11448;0.00;255
11462;0.00;255
11475;0.00;255
11490;0.00;255
11503;0.00;255
11516;0.00;255
11530;0.00;255
11544;0.00;255
11557;0.00;255
11571;0.00;255
11585;0.00;255
11598;0.00;255
11613;0.00;255
11626;0.00;255
11640;0.00;255
11654;0.00;255
11668;0.00;255
11681;0.00;255
11695;0.00;255
11708;0.00;255
11721;0.00;255
11735;0.00;255
11748;0.00;255
11762;0.00;255
11777;0.00;255
11790;0.00;255
11804;0.00;255
11817;0.00;255
11832;0.00;255
11845;0.00;255
11858;0.00;255
11873;0.00;255
11886;0.00;255
11900;0.00;255
11914;0.00;255
11927;0.00;255
11940;0.00;255
11955;0.00;255
11968;0.00;255
11982;0.00;255
11996;0.00;255
12010;0.00;255
12023;0.00;255
12037;0.00;255 
12051;0.00;255
12063;0.00;255
12077;0.00;255
12090;0.00;255
12103;0.00;255
12118;0.00;255
12131;0.00;255
12144;0.00;255
12158;0.00;255
12172;0.00;255
12186;0.00;255
12199;0.00;255
12213;0.00;255
12227;0.00;255
12240;0.00;255
12254;0.00;255 
12268;0.00;255
12281;0.00;255
12296;0.00;255
12309;0.00;255
12322;0.00;255
12336;0.00;255
12350;0.00;255
12363;0.00;255
12377;0.00;255
12391;0.00;255
12403;0.00;255
12418;0.00;255
12432;0.00;255
12444;0.00;255
12457;0.00;255
12471;0.00;255
12485;0.00;255
12498;0.00;255
12513;0.00;255
12526;0.00;255
12540;0.00;255
12554;0.00;255
12567;0.00;255
12581;0.00;255
12595;0.00;255
12609;0.00;255
12622;0.00;255
12637;0.00;255
12650;0.00;255
12664;0.00;255
12679;0.00;255
12692;0.00;255
12706;0.00;255
12720;0.00;255
12733;0.00;255 
12747;0.00;255
12761;0.00;255
12775;0.00;255
12788;0.00;255
12803;0.00;255
12816;0.00;255
12830;0.00;255
