millis;pwm fill factor;sensor distance in mm
7764;0.69;82
7777;0.69;81
7788;0.69;81
7799;0.69;81
7812;0.69;82
7823;0.69;78
7835;0.69;79
7846;0.69;78
7859;0.69;75
7870;0.69;74
7882;0.69;72
7894;0.69;70
7905;0.69;71
7917;0.69;64
7928;0.69;63
7941;0.69;62
7952;0.69;58
7964;0.69;58
7975;0.69;56
7988;0.69;53
7999;0.69;51
8010;0.69;48
8022;0.69;45
8032;0.69;40
8043;0.69;42
8054;0.69;37
8066;0.53;33
8076;0.53;32
8087;0.53;30
8098;0.53;25
8110;0.53;23
8121;0.53;22
8131;0.53;22
8142;0.53;24
8154;0.53;24
8165;0.53;24
8175;0.53;24
8186;0.53;27
8198;0.53;26
8209;0.53;25 
8220;0.53;25
8230;0.53;28
8242;0.53;25
8253;0.53;25
8264;0.53;24
8274;0.53;26
8286;0.53;27
8297;0.53;26
8308;0.53;28
8320;0.53;28
8330;0.53;31
8341;0.53;32
8352;0.53;33
8364;0.53;32
8374;0.53;34
8385;0.53;35
8396;0.53;34
8408;0.53;38
8419;0.53;40
8429;0.53;41
8440;0.53;44
8452;0.53;43
8463;0.53;47
8473;0.53;48
8484;0.53;50
8496;0.53;51
8507;0.53;52
8518;0.53;56
8528;0.53;58
8541;0.53;61
8552;0.53;60
8564;0.69;63
8576;0.69;60
8588;0.69;63
8599;0.69;66
8610;0.69;67
8623;0.69;70
8634;0.69;71
8646;0.69;72
8657;0.69;75
8670;0.69;74
8681;0.69;79
8693;0.69;79
8705;0.69;76
8716;0.69;78
8728;0.69;81
8739;0.69;79
8752;0.69;78
8763;0.69;77
8775;0.69;76
8786;0.69;75
8799;0.69;76
8810;0.69;75
8821;0.69;73
8834;0.69;71
8845;0.69;68
8857;0.69;68
8868;0.69;69
8881;0.69;67
8892;0.69;64 
8904;0.69;62
8915;0.69;59
8927;0.69;57
8939;0.69;55
8950;0.69;55
8962;0.69;51
8973;0.69;51
8984;0.69;48
8994;0.69;46
9006;0.69;40
9017;0.69;40
9028;0.69;35 
9039;0.69;31
9050;0.69;30
9061;0.53;30
9072;0.53;23
9083;0.53;22
9094;0.53;21
9105;0.53;23
9116;0.53;23
9127;0.53;25
9139;0.53;23
9149;0.53;25
9160;0.53;26
9171;0.53;25
9183;0.53;25
9193;0.53;25
9204;0.53;25
9216;0.53;26
9227;0.53;28
9238;0.53;26
9248;0.53;28
9260;0.53;27
9271;0.53;26
9282;0.53;30
9292;0.53;29
9304;0.53;29
9315;0.53;33
9326;0.53;31
9337;0.53;36
9348;0.53;34
9359;0.53;36
9370;0.53;37
9381;0.53;38
9392;0.53;41
9403;0.53;41
9414;0.53;46
9425;0.53;46 
9437;0.53;48
9447;0.53;46
9458;0.53;50
9469;0.53;51
9481;0.53;52
9491;0.53;57
9503;0.53;57
9515;0.53;58
9527;0.53;59
9538;0.53;60
9550;0.53;61
9562;0.69;62
9574;0.69;64
9585;0.69;69
9596;0.69;70
9609;0.69;69
9620;0.69;73
9632;0.69;72
9644;0.69;76
9656;0.69;75
9667;0.69;77
9679;0.69;79
9691;0.69;76
9702;0.69;82
9714;0.69;85
9725;0.69;81
9738;0.69;79
9749;0.69;80
9761;0.69;78
9773;0.69;79 
9785;0.69;78
9796;0.69;74
9807;0.69;77
9820;0.69;77
9831;0.69;77
9843;0.69;73
9854;0.69;71
9867;0.69;68
9878;0.69;68
9890;0.69;65
9902;0.69;64
9913;0.69;66
9925;0.69;62
9936;0.69;57
9949;0.69;56
9960;0.69;54
9971;0.69;52
9982;0.69;48 
9994;0.69;46
10004;0.69;46
10015;0.69;41
10027;0.69;40
10038;0.69;38
10049;0.69;36
10059;0.53;34
10071;0.53;30
10082;0.53;29
